Initial Values:		r	l	m	pc	bp	sp	 stack
0	JMP	 	0	0	32	32	1	0	
32	INC	 	0	0	9	33	1	9	 0 0 0 0 0 0 0 0 0
33	LIT	 	0	0	1	34	1	9	 0 0 0 0 0 0 0 0 0
34	STO	 	0	0	4	35	1	9	 0 0 0 0 1 0 0 0 0
35	LIT	 	0	0	2	36	1	9	 0 0 0 0 1 0 0 0 0
36	STO	 	0	0	5	37	1	9	 0 0 0 0 1 2 0 0 0
37	LIT	 	0	0	3	38	1	9	 0 0 0 0 1 2 0 0 0
38	STO	 	0	0	6	39	1	9	 0 0 0 0 1 2 3 0 0
39	LIT	 	0	0	4	40	1	9	 0 0 0 0 1 2 3 0 0
40	STO	 	0	0	7	41	1	9	 0 0 0 0 1 2 3 4 0
41	LIT	 	0	0	5	42	1	9	 0 0 0 0 1 2 3 4 0
42	STO	 	0	0	8	43	1	9	 0 0 0 0 1 2 3 4 5
43	LOD	 	0	0	7	44	1	9	 0 0 0 0 1 2 3 4 5
44	LOD	 	1	0	8	45	1	9	 0 0 0 0 1 2 3 4 5
45	ADD	 	0	0	1	46	1	9	 0 0 0 0 1 2 3 4 5
46	STO	 	0	0	4	47	1	9	 0 0 0 0 9 2 3 4 5
47	LOD	 	0	0	6	48	1	9	 0 0 0 0 9 2 3 4 5
48	SIO	 	0	0	1	49	1	9	 0 0 0 0 9 2 3 4 5
49	CAL	 	0	0	1	1	10	9	 0 0 0 0 9 2 3 4 5
1	JMP	 	0	0	23	23	10	9	 0 0 0 0 9 2 3 4 5
23	INC	 	0	0	8	24	10	17	 0 0 0 0 9 2 3 4 5 | 0 1 1 50 0 0 0 0
24	LIT	 	0	0	2	25	10	17	 0 0 0 0 9 2 3 4 5 | 0 1 1 50 0 0 0 0
25	STO	 	0	1	6	26	10	17	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0
26	LOD	 	0	1	6	27	10	17	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0
27	LOD	 	1	1	8	28	10	17	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0
28	ADD	 	0	0	1	29	10	17	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0
29	STO	 	0	0	6	30	10	17	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0
30	CAL	 	0	0	2	2	18	17	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0
2	JMP	 	0	0	14	14	18	17	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0
14	INC	 	0	0	7	15	18	24	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0
15	LOD	 	0	1	4	16	18	24	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0
16	LOD	 	1	1	6	17	18	24	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0
17	ADD	 	0	0	1	18	18	24	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0
18	LOD	 	1	2	8	19	18	24	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0
19	ADD	 	0	0	1	20	18	24	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0
20	STO	 	0	0	4	21	18	24	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0
21	CAL	 	0	0	3	3	25	24	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0
3	JMP	 	0	0	4	4	25	24	 0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0
